route_id,time20,time14,time15,time16,time17,time18,time19,dist20,dist14,dist15,dist16,dist17,dist18,dist19
001,1173.4,1203.7,1183,1183,1183,1183,999,11093.4,11185.2,11513.4,11513.1,11513.4,11513,999
002,2078,2077.7,2077.7,2078,2078,2078,999,22595.9,22594.8,22595.3,22596.9,22597.2,22597.4,999
003,1243.4,1225.9,1225.9,1225.9,1225.9,1218,999,15129.7,14101.7,14101.7,14101.9,14102.2,13898.8,999
004,720.6,720.7,721,721,1346.7,1346.7,999,11497.3,11499.2,11503.5,11503.5,18154.4,18154.3,999
005,840.9,840.9,825.9,825.9,833.9,825.9,999,7552.2,7552.2,7541.5,7541,7574.3,7540.8,999
006,440.3,440.3,217.4,440.3,440.3,440.3,999,3042.1,3042,1882.2,3041.8,3041.8,3041.6,999
007,1852,1866.2,1852,1852,1852,1852,999,26899.8,27064.2,26899.9,26900,26900.2,26900.4,999
008,210.2,210.2,210.2,210.2,210.2,210.2,999,1848.5,1848.6,1848.7,1848.6,1848.6,1848.6,999
009,1419.7,1338.5,1338.5,1338.5,1338.5,1338.5,999,14783.3,14548.7,14549.4,14549.5,14549.5,14549.3,999
010,1216.6,1216.6,1216.6,1216.6,1266.3,1216.6,999,12492.4,12492.4,12492.4,12492.5,12975.3,12491.8,999
011,1713.2,1713.2,1713.2,1713.2,1713.2,1713.2,999,24933.2,24933.4,24932.8,24932.7,24933.1,24933,999
012,488.4,488.4,726,557.2,557.2,557.2,999,6366.8,6366.8,9214.1,7397.4,7397.3,7397.4,999
013,2173.1,2173.1,2173.1,2173.1,2173.1,2173.1,999,19563.9,19563.7,19563.9,19563.9,19563.7,19563.2,999
014,343,343,343,343,343,343,999,3411,3411,3410.9,3410.9,3410.9,3410.9,999
015,1354.5,1354.5,1377.1,1354.5,1354.5,1354.5,999,13846.2,13845.4,14033,13845.4,13845.9,13846.2,999
016,1689.9,1689.9,1689.8,1689.8,1689.8,1719.8,999,18141.4,18140.9,18123.6,18123.8,18123.5,18134.4,999
017,922.7,922.7,922.7,922.7,922.7,922.7,999,13511.1,13511.5,13511,13511,13511.5,13511.5,999
018,1312.8,1312.8,1312.8,1312.8,1306.3,1306.3,999,14354,14353.9,14354,14354,16385.6,16383.5,999
019,1454,1454,1454,1454,1454,1454,999,13019.8,13019.1,13018.3,13018.1,13018.4,13018.4,999
020,1256.4,1256.4,1274.7,1274.7,1274.7,1274.7,999,16742.6,16743.1,16866.3,16866.4,16866.5,16866.6,999
021,1377.9,1266.4,1211,1211,1211,1211,999,14050.7,11914.7,14507.4,14507.3,14507.1,14507.5,999
022,27,27,27,54.8,54.8,54.8,999,112.1,112.1,112.1,113.7,113.7,113.7,999
023,1535.6,1549.8,1535.6,1535.6,1535.6,1535.6,999,17722.7,17886.4,17722.1,17722.1,17722.7,17722.9,999
024,6.1,6.1,513.2,513.2,1457.7,1439.9,999,110.3,110.2,9017.5,9017.5,18097.9,17946.3,999
025,737.8,737.8,737.7,739.6,739.6,739.6,999,7384.3,7383.8,7366.3,7381.4,7381.3,7381.2,999
026,1418.2,1491.8,1414.4,1411.9,1411.9,1411.9,999,15162.6,15849.3,15302.2,15147.1,15147.3,15147.1,999
027,487.4,487.4,502,502,502,502,999,4219.8,4219.8,4291.6,4291.7,4291.6,4291.5,999
028,1428.6,1522.1,1728.2,1705.6,1705.6,1705.6,999,11867.8,12427.5,13916.2,13728.4,13728.5,13728.6,999
029,1806.9,1806.9,1806.9,1806.9,1806.9,1806.9,999,17287.6,17287.9,17287.8,17287.8,17287.5,17287,999
030,1009.5,1009.5,1009.5,1009.5,1009.5,990.4,999,9262.6,9262.6,9262.7,9262.5,9262.6,10388.3,999
031,1590,1590,1581.2,1581.2,1581.2,1581.2,999,16623.4,16623.6,16595.9,16596.2,16596.5,16596.5,999
032,2386,2386,2386,2386,2386,2386,999,29418.1,29419.1,29418.8,29419.1,29419.9,29419.7,999
033,1749,1749,1749,1749,1749,1749,999,20936.7,20937,20936.8,20936.8,20936.9,20934.8,999
034,940.4,940.4,940.4,940.4,990.1,940.4,999,9993.7,9993.9,9994.2,9994.2,10477,9993.7,999
035,433.7,433.7,433.7,433.7,433.7,434.4,999,4407.3,4407.3,4407.3,4407.3,4407.3,4412.1,999
036,1226.1,1226.7,1292.1,1292.1,1267.3,1267.3,999,15413.6,15420.3,15797,15797.1,15858.4,15858.8,999
037,1103.7,1082.5,1090.2,1090.2,1082.5,1082.5,999,15202.4,15161.8,15149.3,15149.3,15161.6,15162,999
038,1152.2,1148.3,1148.3,1148.3,1027.2,1027.2,999,8136.3,8082.6,8082,8082.3,8036.1,8036.4,999
039,993.4,549.8,549.8,549.8,551.3,551.3,999,7585.1,4844.7,4844.7,4844.7,4851,4851,999
040,798.4,798.4,798.4,798.4,791.6,791.6,999,9016.2,9016.3,9016.2,9016.3,8961.9,8961.9,999
041,1075.4,1075.4,1075.4,990.1,990,990,999,9667.9,9667.8,9667.8,14369.2,14368.9,14366.6,999
042,914.4,914.4,1266.2,1240,1240,1240,999,11160.3,11160.7,13910.8,13932.2,13932.3,13932.5,999
043,903.1,903.1,903.1,903.1,903.1,903.1,999,9776.2,9776.2,9776.5,9776.6,9776.7,9776.6,999
044,252.4,252.4,252.4,252.4,1468.6,1468.6,999,2565.2,2565.5,2565.7,2565.6,14949.9,14949.9,999
045,1041.8,1041.8,1327.1,1193.2,1193.2,1193.2,999,14978.7,14978.4,14460.5,16857.4,16857.5,16857.6,999
046,1935.6,1914.4,1905.7,1905.7,1905.7,1827.1,999,19034.6,18994.4,18945.3,18945,18944.7,19333.9,999
047,2934.1,2934.1,2934.1,2934.1,2934.1,2934.1,999,31893.9,31894.2,31894.4,31894.6,31895.4,31895,999
048,303.2,298.1,298.1,2231.7,2231.7,2231.7,999,1216.1,1217.2,1217.2,19641.2,19641.4,19641.4,999
049,634.7,635,635,575.3,575.3,575.3,999,6935.2,6936.2,6936.1,6394.3,6394.4,6394.4,999
050,2110.4,1359.4,1359.4,1359.4,1359.4,1310.7,999,15268.7,11067.8,11067.8,11067.8,11067.8,11339.1,999
051,1050.2,1049.9,1049.9,1050.2,1050.2,1050.2,999,12633,12632,12632.1,12634,12634.2,12634.1,999
052,1785.4,1781.3,1781.3,1781.3,1781.3,1781.3,999,19150,19144.3,19144.4,19144.5,19144.6,19144.4,999
053,2447.8,2430.3,2467.9,2467.9,2467.9,2467.9,999,25911.2,25564.1,25846.7,25847.1,25848.5,25848.4,999
054,956.5,956.5,956.5,956.5,956.5,956.5,999,8937.8,8938,8938.2,8938.2,8938.1,8937.8,999
055,1213.6,1146.4,1146.4,1146.4,1096.6,1096.6,999,10168.7,9852.4,9851.3,9851.3,10057.3,10057.1,999
056,1360.3,1222.3,1244.9,1212.5,1212.5,1212.5,999,11565.9,11074.9,11262.6,10992.1,10992.2,10992.2,999
057,675.3,1341.9,675.3,675.3,675.3,675.3,999,5798,9978.4,5798,5798,5798,5797.7,999
058,872.8,872.8,872.8,872.8,872.8,872.8,999,10855.9,10856.2,10856.1,10856.1,10856.6,10856.8,999
059,1703.9,1675.4,1074.1,1074.1,1074.1,1074.1,999,15206.4,15408.8,11593.7,11593.6,11593.3,11592.9,999
060,879.9,879.9,879.9,879.9,879.9,879.9,999,8692.7,8692.8,8692.4,8692.6,8692.6,8692.2,999
061,482.2,482.2,482.2,482.3,465.9,465.9,999,4868,4868,4868.2,4868.4,4657.6,4657.8,999
062,1771.9,1771.9,1771.9,1771.9,1771.9,1771.9,999,19211.5,19212.2,19211.6,19211.7,19211.8,19211.5,999
063,20.1,2231,2231,2231,2231,2231,999,83,25819.8,25819.9,25819.8,25820.4,25820.6,999
064,1832.1,1832.1,1854.4,1753.8,1832.1,1745.2,999,17433.1,17433.3,17633.9,17073.1,17433.1,17358.8,999
065,1976.8,1976.8,1976.3,2032.5,1977,1976.3,999,20966.6,20966.8,20981.2,21509.7,21041,20980.8,999
066,1299.3,1299.3,1299.3,1299.3,1299.3,1299.3,999,12473.9,12473.8,12474,12473.7,12473.4,12473.3,999
067,2141.3,2119.2,2119.2,2119.2,2119.2,2119.2,999,21182.5,21087.9,21088,21087.9,21088,21087.6,999
068,756.2,756.2,756.2,756.2,756.2,756.2,999,7333.4,7333.4,7333.3,7333.4,7333.2,7333,999
069,803.7,803.7,803.7,803.7,803.7,803.7,999,12402.5,12402.5,12402.3,12402.3,12402.1,12402.2,999
