Group,P_id,ESTIM_D1,ESTIM_D2,ESTIM_D3,ESTIM_D4
Group1,1,220,30,120,20
Group1,2,500,100,100,100
Group1,3,4000,1500,3000,900
Group1,4,550,50,400,50
Group1,5,1000,100,800,80
Group1,6,400,80,150,20
Group1,7,900,100,800,80
Group1,8,550,70,300,50
Group1,9,600,60,400,40
Group1,10,600,80,500,40
Group1,11,800,100,600,60
Group1,12,600,40,300,30
Group2,13,1000,100,400,80
Group2,14,800,100,400,80
Group2,15,400,100,400,100
Group2,16,700,100,300,60
Group2,17,400,80,400,40
Group2,18,400,80,400,20
Group2,19,700,100,500,60
Group2,20,500,60,400,40
Group2,21,400,60,300,40
Group2,22,500,60,400,40
Group2,23,600,40,400,30
Group2,24,600,40,600,40
Group2,25,650,40,400,50
