Group,P_ID,landmarks omitted,road segments,wrong turns,total map errors,landmarks score
Group1,1,1,5,0,6,9
Group1,2,4,5,0,9,8
Group1,3,3,3,1,7,9
Group1,4,1,0,0,1,14
Group1,5,3,7,0,10,10
Group1,6,2,5,0,7,10
Group1,7,2,1,0,3,7
Group1,8,3,1,0,4,7
Group1,9,2,2,0,4,12
Group1,10,2,3,0,5,10
Group1,11,0,1,0,1,11
Group1,12,1,2,0,3,11
Group2,13,4,4,0,8,7
Group2,14,5,0,0,5,6
Group2,15,7,1,0,8,1
Group2,16,6,1,0,7,7
Group2,17,2,2,0,4,7
Group2,18,5,3,0,8,6
Group2,19,4,1,0,5,6
Group2,20,3,3,0,6,10
Group2,21,3,2,0,5,9
Group2,22,4,3,0,7,6
Group2,23,4,2,0,6,6
Group2,24,1,1,0,2,10
Group2,25,2,0,0,2,11
